ID,experimental_phase,group,date,rnd,intake
420,Experimental,No-Uncertainty,2022-10-21,3,65
421,Experimental,No-Uncertainty,2022-10-21,3,65
422,Experimental,No-Uncertainty,2022-10-21,3,59
413,Experimental,Uncertainty,2022-10-22,3,47
414,Experimental,No-Uncertainty,2022-10-22,3,51
415,Experimental,No-Uncertainty,2022-10-22,3,68
416,Experimental,Uncertainty,2022-10-22,3,33
417,Experimental,Uncertainty,2022-10-22,3,54
418,Experimental,Uncertainty,2022-10-22,3,55
419,Experimental,Uncertainty,2022-10-22,3,44
420,Experimental,No-Uncertainty,2022-10-22,3,64
421,Experimental,No-Uncertainty,2022-10-22,3,69
422,Experimental,No-Uncertainty,2022-10-22,3,57
413,Experimental,Uncertainty,2022-10-23,3,54
414,Experimental,No-Uncertainty,2022-10-23,3,59
415,Experimental,No-Uncertainty,2022-10-23,3,67
416,Experimental,Uncertainty,2022-10-23,3,49
417,Experimental,Uncertainty,2022-10-23,3,54
418,Experimental,Uncertainty,2022-10-23,3,52
419,Experimental,Uncertainty,2022-10-23,3,58
420,Experimental,No-Uncertainty,2022-10-23,3,64
421,Experimental,No-Uncertainty,2022-10-23,3,34
422,Experimental,No-Uncertainty,2022-10-23,3,66
413,Experimental,Uncertainty,2022-10-24,3,57
414,Experimental,No-Uncertainty,2022-10-24,3,64
415,Experimental,No-Uncertainty,2022-10-24,3,54
416,Experimental,Uncertainty,2022-10-24,3,39
417,Experimental,Uncertainty,2022-10-24,3,69
418,Experimental,Uncertainty,2022-10-24,3,55
419,Experimental,Uncertainty,2022-10-24,3,60
420,Experimental,No-Uncertainty,2022-10-24,3,64
421,Experimental,No-Uncertainty,2022-10-24,3,60
422,Experimental,No-Uncertainty,2022-10-24,3,69
413,Experimental,Uncertainty,2022-10-25,3,50
414,Experimental,No-Uncertainty,2022-10-25,3,34
415,Experimental,No-Uncertainty,2022-10-25,3,53
416,Experimental,Uncertainty,2022-10-25,3,49
417,Experimental,Uncertainty,2022-10-25,3,54
418,Experimental,Uncertainty,2022-10-25,3,30
419,Experimental,Uncertainty,2022-10-25,3,54
420,Experimental,No-Uncertainty,2022-10-25,3,131
421,Experimental,No-Uncertainty,2022-10-25,3,71
422,Experimental,No-Uncertainty,2022-10-25,3,72
413,Experimental,Uncertainty,2022-10-26,3,57
414,Experimental,No-Uncertainty,2022-10-26,3,32
415,Experimental,No-Uncertainty,2022-10-26,3,49
416,Experimental,Uncertainty,2022-10-26,3,49
417,Experimental,Uncertainty,2022-10-26,3,52
418,Experimental,Uncertainty,2022-10-26,3,57
419,Experimental,Uncertainty,2022-10-26,3,52
420,Experimental,No-Uncertainty,2022-10-26,3,63
421,Experimental,No-Uncertainty,2022-10-26,3,73
422,Experimental,No-Uncertainty,2022-10-26,3,61
413,Experimental,Uncertainty,2022-10-27,3,58
414,Experimental,No-Uncertainty,2022-10-27,3,58
415,Experimental,No-Uncertainty,2022-10-27,3,65
416,Experimental,Uncertainty,2022-10-27,3,49
417,Experimental,Uncertainty,2022-10-27,3,61
418,Experimental,Uncertainty,2022-10-27,3,64
419,Experimental,Uncertainty,2022-10-27,3,51
420,Experimental,No-Uncertainty,2022-10-27,3,71
421,Experimental,No-Uncertainty,2022-10-27,3,83
422,Experimental,No-Uncertainty,2022-10-27,3,65
413,Experimental,Uncertainty,2022-10-28,3,58
414,Experimental,No-Uncertainty,2022-10-28,3,43
415,Experimental,No-Uncertainty,2022-10-28,3,63
416,Experimental,Uncertainty,2022-10-28,3,49
417,Experimental,Uncertainty,2022-10-28,3,54
418,Experimental,Uncertainty,2022-10-28,3,55
419,Experimental,Uncertainty,2022-10-28,3,40
420,Experimental,No-Uncertainty,2022-10-28,3,65
421,Experimental,No-Uncertainty,2022-10-28,3,81
422,Experimental,No-Uncertainty,2022-10-28,3,72
413,Experimental,Uncertainty,2022-10-29,3,52
414,Experimental,No-Uncertainty,2022-10-29,3,63
415,Experimental,No-Uncertainty,2022-10-29,3,57
416,Experimental,Uncertainty,2022-10-29,3,49
417,Experimental,Uncertainty,2022-10-29,3,54
418,Experimental,Uncertainty,2022-10-29,3,43
419,Experimental,Uncertainty,2022-10-29,3,43
420,Experimental,No-Uncertainty,2022-10-29,3,64
421,Experimental,No-Uncertainty,2022-10-29,3,64
422,Experimental,No-Uncertainty,2022-10-29,3,62
413,Experimental,Uncertainty,2022-10-30,3,40
414,Experimental,No-Uncertainty,2022-10-30,3,38
415,Experimental,No-Uncertainty,2022-10-30,3,52
416,Experimental,Uncertainty,2022-10-30,3,49
417,Experimental,Uncertainty,2022-10-30,3,54
418,Experimental,Uncertainty,2022-10-30,3,55
419,Experimental,Uncertainty,2022-10-30,3,47
420,Experimental,No-Uncertainty,2022-10-30,3,64
421,Experimental,No-Uncertainty,2022-10-30,3,52
422,Experimental,No-Uncertainty,2022-10-30,3,53
413,Experimental,Uncertainty,2022-10-31,3,47
414,Experimental,No-Uncertainty,2022-10-31,3,59
415,Experimental,No-Uncertainty,2022-10-31,3,65
416,Experimental,Uncertainty,2022-10-31,3,49
417,Experimental,Uncertainty,2022-10-31,3,54
418,Experimental,Uncertainty,2022-10-31,3,55
419,Experimental,Uncertainty,2022-10-31,3,42
420,Experimental,No-Uncertainty,2022-10-31,3,64
421,Experimental,No-Uncertainty,2022-10-31,3,70
422,Experimental,No-Uncertainty,2022-10-31,3,63
413,Experimental,Uncertainty,2022-11-01,3,43
414,Experimental,No-Uncertainty,2022-11-01,3,59
415,Experimental,No-Uncertainty,2022-11-01,3,65
416,Experimental,Uncertainty,2022-11-01,3,49
417,Experimental,Uncertainty,2022-11-01,3,54
418,Experimental,Uncertainty,2022-11-01,3,55
419,Experimental,Uncertainty,2022-11-01,3,51
420,Experimental,No-Uncertainty,2022-11-01,3,64
421,Experimental,No-Uncertainty,2022-11-01,3,65
422,Experimental,No-Uncertainty,2022-11-01,3,55
413,Experimental,Uncertainty,2022-11-02,3,48
414,Experimental,No-Uncertainty,2022-11-02,3,66
415,Experimental,No-Uncertainty,2022-11-02,3,65
416,Experimental,Uncertainty,2022-11-02,3,32
417,Experimental,Uncertainty,2022-11-02,3,43
418,Experimental,Uncertainty,2022-11-02,3,40
419,Experimental,Uncertainty,2022-11-02,3,64
420,Experimental,No-Uncertainty,2022-11-02,3,64
421,Experimental,No-Uncertainty,2022-11-02,3,60
422,Experimental,No-Uncertainty,2022-11-02,3,45
413,Experimental,Uncertainty,2022-11-03,3,40
414,Experimental,No-Uncertainty,2022-11-03,3,59
415,Experimental,No-Uncertainty,2022-11-03,3,65
416,Experimental,Uncertainty,2022-11-03,3,30
417,Experimental,Uncertainty,2022-11-03,3,30
418,Experimental,Uncertainty,2022-11-03,3,33
419,Experimental,Uncertainty,2022-11-03,3,33
420,Experimental,No-Uncertainty,2022-11-03,3,79
421,Experimental,No-Uncertainty,2022-11-03,3,54
422,Experimental,No-Uncertainty,2022-11-03,3,53
413,Experimental,Uncertainty,2022-11-04,3,47
414,Experimental,No-Uncertainty,2022-11-04,3,60
415,Experimental,No-Uncertainty,2022-11-04,3,66
416,Experimental,Uncertainty,2022-11-04,3,34
417,Experimental,Uncertainty,2022-11-04,3,39
418,Experimental,Uncertainty,2022-11-04,3,55
419,Experimental,Uncertainty,2022-11-04,3,70
420,Experimental,No-Uncertainty,2022-11-04,3,72
421,Experimental,No-Uncertainty,2022-11-04,3,65
422,Experimental,No-Uncertainty,2022-11-04,3,56
413,Experimental,Uncertainty,2022-11-05,3,51
414,Experimental,No-Uncertainty,2022-11-05,3,59
415,Experimental,No-Uncertainty,2022-11-05,3,68
416,Experimental,Uncertainty,2022-11-05,3,42
417,Experimental,Uncertainty,2022-11-05,3,69
418,Experimental,Uncertainty,2022-11-05,3,50
419,Experimental,Uncertainty,2022-11-05,3,49
420,Experimental,No-Uncertainty,2022-11-05,3,67
421,Experimental,No-Uncertainty,2022-11-05,3,71
422,Experimental,No-Uncertainty,2022-11-05,3,57
413,Experimental,Uncertainty,2022-11-06,3,33
414,Experimental,No-Uncertainty,2022-11-06,3,51
415,Experimental,No-Uncertainty,2022-11-06,3,49
416,Experimental,Uncertainty,2022-11-06,3,44
417,Experimental,Uncertainty,2022-11-06,3,54
418,Experimental,Uncertainty,2022-11-06,3,55
419,Experimental,Uncertainty,2022-11-06,3,38
420,Experimental,No-Uncertainty,2022-11-06,3,74
421,Experimental,No-Uncertainty,2022-11-06,3,48
422,Experimental,No-Uncertainty,2022-11-06,3,65
413,Experimental,Uncertainty,2022-11-07,3,40
414,Experimental,No-Uncertainty,2022-11-07,3,52
415,Experimental,No-Uncertainty,2022-11-07,3,85
416,Experimental,Uncertainty,2022-11-07,3,48
417,Experimental,Uncertainty,2022-11-07,3,40
418,Experimental,Uncertainty,2022-11-07,3,43
419,Experimental,Uncertainty,2022-11-07,3,37
420,Experimental,No-Uncertainty,2022-11-07,3,63
421,Experimental,No-Uncertainty,2022-11-07,3,60
422,Experimental,No-Uncertainty,2022-11-07,3,40
413,Experimental,Uncertainty,2022-11-08,3,43
414,Experimental,No-Uncertainty,2022-11-08,3,34
415,Experimental,No-Uncertainty,2022-11-08,3,81
416,Experimental,Uncertainty,2022-11-08,3,39
417,Experimental,Uncertainty,2022-11-08,3,35
418,Experimental,Uncertainty,2022-11-08,3,51
419,Experimental,Uncertainty,2022-11-08,3,31
420,Experimental,No-Uncertainty,2022-11-08,3,57
421,Experimental,No-Uncertainty,2022-11-08,3,70
422,Experimental,No-Uncertainty,2022-11-08,3,54
413,Experimental,Uncertainty,2022-11-09,3,43
414,Experimental,No-Uncertainty,2022-11-09,3,39
415,Experimental,No-Uncertainty,2022-11-09,3,48
416,Experimental,Uncertainty,2022-11-09,3,41
417,Experimental,Uncertainty,2022-11-09,3,54
418,Experimental,Uncertainty,2022-11-09,3,52
419,Experimental,Uncertainty,2022-11-09,3,60
420,Experimental,No-Uncertainty,2022-11-09,3,36
421,Experimental,No-Uncertainty,2022-11-09,3,58
422,Experimental,No-Uncertainty,2022-11-09,3,54
413,Experimental,Uncertainty,2022-11-10,3,44
414,Experimental,No-Uncertainty,2022-11-10,3,38
415,Experimental,No-Uncertainty,2022-11-10,3,53
416,Experimental,Uncertainty,2022-11-10,3,49
417,Experimental,Uncertainty,2022-11-10,3,54
418,Experimental,Uncertainty,2022-11-10,3,50
419,Experimental,Uncertainty,2022-11-10,3,37
420,Experimental,No-Uncertainty,2022-11-10,3,52
421,Experimental,No-Uncertainty,2022-11-10,3,70
422,Experimental,No-Uncertainty,2022-11-10,3,50
413,Experimental,Uncertainty,2022-11-11,3,50
414,Experimental,No-Uncertainty,2022-11-11,3,55
415,Experimental,No-Uncertainty,2022-11-11,3,61
416,Experimental,Uncertainty,2022-11-11,3,44
417,Experimental,Uncertainty,2022-11-11,3,54
418,Experimental,Uncertainty,2022-11-11,3,65
419,Experimental,Uncertainty,2022-11-11,3,56
420,Experimental,No-Uncertainty,2022-11-11,3,53
421,Experimental,No-Uncertainty,2022-11-11,3,55
422,Experimental,No-Uncertainty,2022-11-11,3,63
413,Experimental,Uncertainty,2022-11-12,3,50
414,Experimental,No-Uncertainty,2022-11-12,3,56
415,Experimental,No-Uncertainty,2022-11-12,3,53
416,Experimental,Uncertainty,2022-11-12,3,49
417,Experimental,Uncertainty,2022-11-12,3,54
418,Experimental,Uncertainty,2022-11-12,3,46
419,Experimental,Uncertainty,2022-11-12,3,50
420,Experimental,No-Uncertainty,2022-11-12,3,57
421,Experimental,No-Uncertainty,2022-11-12,3,74
422,Experimental,No-Uncertainty,2022-11-12,3,57
413,Experimental,Uncertainty,2022-11-13,3,49
414,Experimental,No-Uncertainty,2022-11-13,3,34
415,Experimental,No-Uncertainty,2022-11-13,3,67
416,Experimental,Uncertainty,2022-11-13,3,52
417,Experimental,Uncertainty,2022-11-13,3,54
418,Experimental,Uncertainty,2022-11-13,3,58
419,Experimental,Uncertainty,2022-11-13,3,55
420,Experimental,No-Uncertainty,2022-11-13,3,56
421,Experimental,No-Uncertainty,2022-11-13,3,66
422,Experimental,No-Uncertainty,2022-11-13,3,63
413,Experimental,Uncertainty,2022-11-14,3,54
414,Experimental,No-Uncertainty,2022-11-14,3,57
415,Experimental,No-Uncertainty,2022-11-14,3,61
416,Experimental,Uncertainty,2022-11-14,3,50
417,Experimental,Uncertainty,2022-11-14,3,59
418,Experimental,Uncertainty,2022-11-14,3,64
419,Experimental,Uncertainty,2022-11-14,3,52
420,Experimental,No-Uncertainty,2022-11-14,3,46
421,Experimental,No-Uncertainty,2022-11-14,3,67
422,Experimental,No-Uncertainty,2022-11-14,3,58
413,Experimental,Uncertainty,2022-11-15,3,31
414,Experimental,No-Uncertainty,2022-11-15,3,59
415,Experimental,No-Uncertainty,2022-11-15,3,61
416,Experimental,Uncertainty,2022-11-15,3,46
417,Experimental,Uncertainty,2022-11-15,3,62
418,Experimental,Uncertainty,2022-11-15,3,61
419,Experimental,Uncertainty,2022-11-15,3,31
420,Experimental,No-Uncertainty,2022-11-15,3,65
421,Experimental,No-Uncertainty,2022-11-15,3,69
422,Experimental,No-Uncertainty,2022-11-15,3,56
413,Experimental,Uncertainty,2022-11-16,3,54
414,Experimental,No-Uncertainty,2022-11-16,3,59
415,Experimental,No-Uncertainty,2022-11-16,3,59
416,Experimental,Uncertainty,2022-11-16,3,53
417,Experimental,Uncertainty,2022-11-16,3,47
418,Experimental,Uncertainty,2022-11-16,3,68
419,Experimental,Uncertainty,2022-11-16,3,54
420,Experimental,No-Uncertainty,2022-11-16,3,65
421,Experimental,No-Uncertainty,2022-11-16,3,63
422,Experimental,No-Uncertainty,2022-11-16,3,63
413,Experimental,Uncertainty,2022-11-17,3,44
414,Experimental,No-Uncertainty,2022-11-17,3,80
415,Experimental,No-Uncertainty,2022-11-17,3,57
416,Experimental,Uncertainty,2022-11-17,3,66
417,Experimental,Uncertainty,2022-11-17,3,57
418,Experimental,Uncertainty,2022-11-17,3,40
419,Experimental,Uncertainty,2022-11-17,3,39
420,Experimental,No-Uncertainty,2022-11-17,3,59
421,Experimental,No-Uncertainty,2022-11-17,3,55
422,Experimental,No-Uncertainty,2022-11-17,3,56
413,Experimental,Uncertainty,2022-11-18,3,82
414,Experimental,No-Uncertainty,2022-11-18,3,53
415,Experimental,No-Uncertainty,2022-11-18,3,102
416,Experimental,Uncertainty,2022-11-18,3,51
